#;QTY;REFDES;MANUFACTURER;PARTNO;VALUE;PACKAGE;SUPPLIER;ORDER #;
29;3;C498,C499,C500;KEMET;C0805C153J5RAC;15NF;CAPC2012X88N;;;
30;3;C501,C502,C503;KEMET;T530X337M010ATE006;330UF;CAPMP7343X430N;;;
31;2;C538,C545;KEMET;T530X337M010ATE006;330UF;CAPMP7343X310N;;;
32;1;C539;AVX;04023C101KAT2A;100PF;CAPC1005X55N;;;
33;1;C550;KEMET;C0805C153J5RAC;15NF;CAPC2012X140N;;;
34;12;C608,C609,C610,C611,C730,C731,C732,C733,C735,C737,C739,C740;AVX;TPSB107K006R;100UF;CAPMP3528X210N;AVX: TPSB107K006R;;
35;1;C613;MURATA;GRM155R61A102KA01B;1NF;CAPC1005X55N;;;
36;1;C614;KEMET;T491X227M010AT;220UF;CAPMP7343X430N;;;
37;4;C744,C745,C746,C747;AVX;04023C471KAT2A;470PF;CAPC1005X55N;AVX: 04023C471KAT2A;;
38;52;CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CP16,CP17,CP18,CP19,CP20,CP21,CP22,CP23,CP24,CP25,CP26,CP27,CP28,CP29,CP30,CP31,CP32,CP33,CP34,CP35,CP36,CP37,CP38,CP39,CP40,CP41,CP42,CP43,CP44,CP45,CP46,CP47,CP48,CP49,CP50,CP51,CP52;MURATA;GNM214B11C104MA01B;100NF;CAPCAF50P125X200X100-8N;;;
39;8;CR1,CR2,CR3,CR4,CR7,CR8,CR9,CR10;OSRAM;Q62702P5179;GRN;LEDC3216X120N;;;
40;2;CR5,CR6;OSRAM;Q62702P5178;RED;LEDC3216X120N;EBV;;
41;1;D1;VISHAY;BAV70-V;BAV70;SOT95P248X115-3N;VIS: BAV70-V;;
42;4;D2,D3,D4,D5;AGILENT TECHNOLOGIES;HSMS-C150;OPTICAL MODULE FAULT - RED LED;LEDC3216X120N;;;
43;1;D6;AGILENT TECHNOLOGIES;HSMS-C150;DUPLEX LED;LEDC3216X120N;;;
44;1;D7;AGILENT TECHNOLOGIES;HSMS-C150;L10 LED;LEDC3216X120N;;;
45;1;D8;AGILENT TECHNOLOGIES;HSMS-C150;L100 LED;LEDC3216X120N;;;
46;1;D9;NXP;PRTR5V0U2AX;NONE;SOT143B;DIGIKEY;568-4139-1-ND;
47;3;D10,D11,D12;ON SEMI;BZX84C3V3LT1;3V3;SOT95P240X110-3N;;;
48;36;FB1,FB3,FB4,FB5,FB8,FB9,FB10,FB11,FB14,FB15,FB16,FB17,FB19,FB22,FB23,FB24,FB25,FB26,FB27,FB28,FB30,FB31,FB32,FB35,FB36,FB37,FB38,FB41,FB42,FB43,FB44,FB46,FB49,FB50,FB51,FB52;TDK;MPZ1608S221A;220@100M;INDC1608X95N;;;
49;12;FU1,FU2,FU3,FU4,FU5,FU6,FU7,FU8,FU9,FU10,FU11,FU12;;N/A;;FIDUCIAL;;;
50;9;H1,H2,H3,H4,H5,H6,H7,H8,H9;NA;N/A;;HOLE150X288;NA;;
51;2;H10,H11;;N/A;;HEATSINKHOLE;;;
