Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 308267  Y 493503
X 308267  Y 466732
X 308267  Y 499409
X 331267  Y 491492
X 331267  Y 501492
X 332283  Y 472047
X 332283  Y 481889
X 335267  Y 492992
X 388976  Y 464173
X 388976  Y 476377
X 388976  Y 489763
X 389370  Y 501574
X 434251  Y 462204
X 434645  Y 489763
X 450393  Y 462204
X 450393  Y 489763
X 498267  Y 486492
X 584251  Y 489763
X 584251  Y 485826
X 592125  Y 489763
X 592125  Y 485826
X 600000  Y 489763
X 600000  Y 485826
X 607874  Y 489763
X 607874  Y 485826
X 615748  Y 489763
X 615748  Y 485826
X 623622  Y 489763
X 623622  Y 485826
X 631496  Y 489763
X 631496  Y 485826
X 639370  Y 489763
X 639370  Y 485826
X 647244  Y 489763
X 647244  Y 485826
X 655118  Y 489763
X 655118  Y 485826
X 662992  Y 489763
X 662992  Y 485826
X 670866  Y 489763
X 670866  Y 485826
X 678740  Y 489763
X 678740  Y 485826
X 686614  Y 489763
X 686614  Y 495276
X 686614  Y 485826
X 686614  Y 503937
X 694488  Y 489763
X 694488  Y 485826
X 702362  Y 489763
X 702362  Y 485826
X 710236  Y 489763
X 710236  Y 485826
X 718110  Y 489763
X 718110  Y 485826
X 725984  Y 489763
X 725984  Y 485826
X 733858  Y 489763
X 733858  Y 485826
X 741732  Y 489763
X 741732  Y 485826
X 769291  Y 489763
X 769291  Y 474015
X 769291  Y 505511
X 776489  Y 465184
X 785039  Y 489763
X 785039  Y 505511
X 789313  Y 489750
X 800444  Y 489750
X 804625  Y 472386
X 804625  Y 483521
X 811767  Y 474492
X 814173  Y 481889
X 814566  Y 497637
X 814566  Y 489763
X 818503  Y 485826
X 818503  Y 489763
X 818503  Y 493700
X 818503  Y 497637
X 818503  Y 481889
X 818503  Y 505511
X 818503  Y 501574
X 822440  Y 497637
X 822440  Y 493700
X 822440  Y 489763
X 822440  Y 481889
X 822440  Y 505511
X 822440  Y 501574
X 822440  Y 485433
X 826377  Y 481889
X 826377  Y 485826
X 826377  Y 493700
X 826377  Y 501574
X 826377  Y 505511
X 826377  Y 497637
X 826377  Y 489763
X 830314  Y 489763
X 830314  Y 493700
X 830314  Y 497637
X 830314  Y 505511
X 830314  Y 501574
X 834251  Y 485826
X 834251  Y 489763
X 834251  Y 481889
X 834251  Y 493700
X 834251  Y 497637
X 834251  Y 501574
X 834251  Y 505511
X 838188  Y 481889
X 838188  Y 489763
X 838188  Y 493700
X 838188  Y 485826
X 838188  Y 497637
X 838188  Y 505511
X 838188  Y 501574
X 842125  Y 481889
X 842125  Y 485826
X 846062  Y 485826
X 846062  Y 505511
X 850000  Y 497637
X 850000  Y 485826
X 850000  Y 489763
X 850000  Y 493700
X 850000  Y 505511
X 850000  Y 501574
X 853937  Y 497637
X 853937  Y 501574
X 857985  Y 472390
X 858105  Y 483521
X 867851  Y 483521
X 867971  Y 472386
X 885090  Y 499535
X 885093  Y 489611
X 895275  Y 484645
X 962204  Y 483858
X 974015  Y 483858
X 1021259  Y 466929
X 1055118  Y 500885
X 1265733  Y 494052
X 1265733  Y 505863
X 1265748  Y 461614
X 1265748  Y 491141
X 1265748  Y 497047
X 1265748  Y 502952
X 1265748  Y 508858
X 1293700  Y 462688
X 1265748  Y 513582
X 1265748  Y 519488
X 1265748  Y 530905
X 1265733  Y 516493
X 1265733  Y 533816
X 1090157  Y 531102
X 1086220  Y 531102
X 1082283  Y 531102
X 1070472  Y 531102
X 1066535  Y 531102
X 1062598  Y 531102
X 1056692  Y 515354
X 1050787  Y 531102
X 1042913  Y 531102
X 1038976  Y 531102
X 1035039  Y 531102
X 1031102  Y 531102
X 1027165  Y 531102
X 1015354  Y 531102
X 1011417  Y 531102
X 1007480  Y 531102
X 1003543  Y 531102
X 999606  Y 531102
X 993700  Y 527559
X 991732  Y 531102
X 983858  Y 531102
X 905511  Y 513385
X 903149  Y 515354
X 885093  Y 509382
X 885090  Y 519230
X 885090  Y 529039
X 865354  Y 521653
X 853937  Y 517322
X 853937  Y 521259
X 853937  Y 533070
X 853937  Y 529133
X 850000  Y 517322
X 850000  Y 533070
X 850000  Y 525196
X 850000  Y 509448
X 850000  Y 521259
X 846062  Y 509448
X 842125  Y 509448
X 838188  Y 509448
X 838188  Y 521259
X 838188  Y 529133
X 838188  Y 525196
X 838188  Y 533070
X 838188  Y 513385
X 838188  Y 517322
X 834251  Y 521259
X 834251  Y 525196
X 834251  Y 533070
X 834251  Y 509448
X 834251  Y 513385
X 834251  Y 517322
X 830314  Y 521259
X 830314  Y 525196
X 830314  Y 509448
X 830314  Y 517322
X 830314  Y 513385
X 826377  Y 521259
X 826377  Y 525196
X 826377  Y 533070
X 826377  Y 509448
X 826377  Y 517322
X 826377  Y 513385
X 822440  Y 521259
X 822440  Y 529133
X 822440  Y 525196
X 822440  Y 517322
X 822440  Y 513385
X 822440  Y 509448
X 818503  Y 525196
X 818503  Y 521259
X 818503  Y 529133
X 818503  Y 509448
X 818503  Y 513385
X 818503  Y 517322
X 814566  Y 533070
X 814566  Y 521259
X 814566  Y 525196
X 814566  Y 509448
X 814566  Y 517322
X 808267  Y 511417
