"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 11 February 2008   Time: 04:26:48 PM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: U11:GPIO SMA1 (@100MHz)"
"Probe 1: U11.5 (at pin)"
"Probe 2: J11.1 (at pin)"
"Probe 3: J9.15 (at pin)"
"Probe 4: R50.1 (at pin)"
"Probe 5: R50.2 (at pin)"
"","Time","Probe V 1","Probe I 1","Probe V 2","Probe I 2","Probe V 3","Probe I 3","Probe V 4","Probe I 4","Probe V 5","Probe I 5"
"","   0.0000e-10","5.4688e-004",DC,"5.4687e-004",DC,"5.4688e-004",DC,"5.4688e-004",DC,"5.4687e-004",DC
"","   0.4888e-10","5.0759e-004","-1.1068e-006","5.4687e-004","-6.3782e-012","5.4670e-004","-1.1320e-008","5.4688e-004","3.3152e-012","5.4688e-004","4.5593e-012"
"","   0.9775e-10","4.4453e-004","-2.2289e-006","5.4688e-004","9.7507e-012","4.8653e-004","-3.8963e-006","5.4633e-004","-1.4407e-008","5.4658e-004","2.7403e-012"
"","   1.4663e-10","3.9841e-004","-3.3271e-006","5.4688e-004","7.7363e-012","4.2700e-004","-7.1602e-006","4.5645e-004","-2.4081e-006","4.9789e-004","-5.8307e-010"
"","   1.9551e-10","3.3735e-004","-3.9822e-006","4.7533e-004","-1.2360e-006","3.5168e-004","-9.5286e-006","3.8056e-004","-4.4281e-006","4.5675e-004","-2.3054e-009"
"","   2.4438e-10","3.0159e-004","-3.7475e-006","3.9077e-004","-2.6970e-006","2.9446e-004","-1.1094e-005","2.9549e-004","-6.2838e-006","3.9058e-004","-7.5967e-007"
"","   2.9326e-10","2.7948e-004","-3.3595e-006","3.0955e-004","-4.1001e-006","2.5202e-004","-1.0623e-005","2.2274e-004","-7.4116e-006","3.1151e-004","-2.2547e-006"
"","   3.4214e-10","2.3150e-004","-2.4782e-006","2.2657e-004","-5.5338e-006","2.1058e-004","-9.9130e-006","1.8963e-004","-7.5630e-006","2.5778e-004","-3.6038e-006"
"","   3.9101e-10","2.2510e-004","-1.4255e-006","1.8933e-004","-6.1772e-006","1.9342e-004","-8.6424e-006","1.5600e-004","-7.6219e-006","1.9856e-004","-5.1489e-006"
"","   4.3989e-10","2.0353e-004","-6.6768e-007","1.5860e-004","-6.7082e-006","1.8046e-004","-6.8900e-006","1.5759e-004","-7.1302e-006","1.7742e-004","-5.9784e-006"
"","   4.8877e-10","1.9134e-004","1.3129e-007","1.4587e-004","-6.9281e-006","1.8092e-004","-6.1828e-006","1.6869e-004","-6.5421e-006","1.6910e-004","-6.5185e-006"
"","   5.3764e-10","1.9573e-004","2.8404e-007","1.6589e-004","-6.5821e-006","1.8949e-004","-5.2580e-006","1.7339e-004","-6.1988e-006","1.6096e-004","-6.9211e-006"
"","   5.8652e-10","1.7767e-004","2.5832e-007","1.7139e-004","-6.4872e-006","1.8361e-004","-5.4068e-006","1.9767e-004","-5.7198e-006","1.8232e-004","-6.6115e-006"
"","   6.3540e-10","1.8003e-004","1.4767e-007","1.9485e-004","-6.0819e-006","1.8778e-004","-6.0660e-006","1.9259e-004","-5.9196e-006","1.8273e-004","-6.4924e-006"
"","   6.8427e-10","1.7200e-004","-3.2650e-007","2.0036e-004","-5.9867e-006","1.8130e-004","-6.3948e-006","1.9036e-004","-6.1334e-006","1.8908e-004","-6.2076e-006"
"","   7.3315e-10","1.5949e-004","-4.7367e-007","1.9128e-004","-6.1436e-006","1.6903e-004","-7.4766e-006","1.8558e-004","-6.3971e-006","1.9318e-004","-5.9555e-006"
"","   7.8203e-10","1.6374e-004","-6.8475e-007","1.9022e-004","-6.1619e-006","1.6413e-004","-7.7929e-006","1.6012e-004","-6.9826e-006","1.7486e-004","-6.1265e-006"
"","   8.3090e-10","1.4679e-004","-7.6297e-007","1.6408e-004","-6.6135e-006","1.4828e-004","-7.9990e-006","1.5409e-004","-7.1403e-006","1.7144e-004","-6.1320e-006"
"","   8.7978e-10","1.4732e-004","-5.3221e-007","1.5232e-004","-6.8167e-006","1.4210e-004","-8.2204e-006","1.3697e-004","-7.4233e-006","1.5371e-004","-6.4512e-006"
"","   9.2866e-10","1.4551e-004","-4.6891e-007","1.4180e-004","-6.9983e-006","1.3761e-004","-7.6419e-006","1.2716e-004","-7.5170e-006","1.4018e-004","-6.7606e-006"
"","   9.7753e-10","1.3467e-004","-1.7804e-007","1.2452e-004","-7.2969e-006","1.3146e-004","-7.5592e-006","1.3174e-004","-7.3245e-006","1.3921e-004","-6.8907e-006"
"","  10.2641e-10","1.4360e-004","2.7382e-009","1.3137e-004","-7.1786e-006","1.3641e-004","-7.1551e-006","1.2409e-004","-7.3433e-006","1.2600e-004","-7.2323e-006"
"","  10.7529e-10","1.3562e-004","3.7804e-008","1.2578e-004","-7.2751e-006","1.3408e-004","-6.7766e-006","1.3451e-004","-7.0782e-006","1.3224e-004","-7.2097e-006"
"","  11.2416e-10","1.3653e-004","2.0220e-007","1.3014e-004","-7.1998e-006","1.3675e-004","-6.9537e-006","1.3741e-004","-6.9883e-006","1.3320e-004","-7.2329e-006"
"","  11.7304e-10","1.4126e-004","7.7372e-008","1.4006e-004","-7.0284e-006","1.4062e-004","-6.6763e-006","1.3632e-004","-7.0042e-006","1.3197e-004","-7.2572e-006"
"","  12.2192e-10","1.3192e-004","4.8882e-008","1.3563e-004","-7.1049e-006","1.3664e-004","-6.9569e-006","1.4609e-004","-6.8651e-006","1.4319e-004","-7.0335e-006"
"","  12.7079e-10","1.3930e-004","1.2907e-008","1.4548e-004","-6.9348e-006","1.4022e-004","-7.1562e-006","1.3804e-004","-7.0519e-006","1.3749e-004","-7.0843e-006"
"","  13.1967e-10","1.3428e-004","-1.5914e-007","1.4149e-004","-7.0037e-006","1.3664e-004","-7.1049e-006","1.3951e-004","-7.0667e-006","1.4091e-004","-6.9852e-006"
"","  13.6855e-10","1.3135e-004","-9.4088e-008","1.3758e-004","-7.0713e-006","1.3337e-004","-7.5077e-006","1.3818e-004","-7.1229e-006","1.4122e-004","-6.9464e-006"
"","  14.1742e-10","1.3724e-004","-1.6192e-007","1.4039e-004","-7.0227e-006","1.3466e-004","-7.3429e-006","1.2855e-004","-7.3039e-006","1.3231e-004","-7.0857e-006"
"","  14.6630e-10","1.2815e-004","-1.4382e-007","1.2918e-004","-7.2164e-006","1.2893e-004","-7.3814e-006","1.3342e-004","-7.2141e-006","1.3690e-004","-7.0122e-006"
"","  15.1518e-10","1.3349e-004","-2.7040e-008","1.3198e-004","-7.1680e-006","1.3083e-004","-7.4450e-006","1.2679e-004","-7.3123e-006","1.2946e-004","-7.1570e-006"
"","  15.6406e-10","1.3228e-004","-7.8020e-008","1.2934e-004","-7.2136e-006","1.3035e-004","-7.1188e-006","1.2730e-004","-7.2775e-006","1.2869e-004","-7.1963e-006"
"","  16.1293e-10","1.2767e-004","4.1450e-008","1.2526e-004","-7.2841e-006","1.2854e-004","-7.2772e-006","1.3204e-004","-7.1705e-006","1.3221e-004","-7.1605e-006"
"","  16.6181e-10","1.3508e-004","3.8042e-008","1.3239e-004","-7.1610e-006","1.3277e-004","-7.0960e-006","1.2655e-004","-7.2466e-006","1.2580e-004","-7.2900e-006"
"","  17.1069e-10","1.2840e-004","3.8950e-009","1.2738e-004","-7.2476e-006","1.2992e-004","-7.0399e-006","1.3381e-004","-7.1115e-006","1.3258e-004","-7.1826e-006"
"","  17.5956e-10","1.3157e-004","7.8409e-008","1.3169e-004","-7.1730e-006","1.3183e-004","-7.2268e-006","1.3175e-004","-7.1493e-006","1.3063e-004","-7.2141e-006"
"","  18.0844e-10","1.3339e-004","-2.6593e-008","1.3389e-004","-7.1351e-006","1.3281e-004","-7.0291e-006","1.3042e-004","-7.1805e-006","1.2971e-004","-7.2218e-006"
"","  18.5732e-10","1.2763e-004","6.1875e-009","1.2959e-004","-7.2093e-006","1.2978e-004","-7.2441e-006","1.3547e-004","-7.1049e-006","1.3533e-004","-7.1131e-006"
"","  19.0619e-10","1.3426e-004","-9.2111e-010","1.3544e-004","-7.1083e-006","1.3297e-004","-7.2340e-006","1.2882e-004","-7.2320e-006","1.2927e-004","-7.2055e-006"
"","  19.5507e-10","1.2940e-004","-6.7326e-008","1.3055e-004","-7.1927e-006","1.3025e-004","-7.1517e-006","1.3251e-004","-7.1736e-006","1.3324e-004","-7.1315e-006"
"","  20.0395e-10","1.3003e-004","2.0242e-008","1.3064e-004","-7.1913e-006","1.3026e-004","-7.3499e-006","1.3141e-004","-7.1939e-006","1.3220e-004","-7.1481e-006"
"","  20.5282e-10","1.3396e-004","-3.0780e-008","1.3289e-004","-7.1523e-006","1.3214e-004","-7.1296e-006","1.2773e-004","-7.2552e-006","1.2841e-004","-7.2160e-006"
"","  21.0170e-10","1.2851e-004","1.1358e-008","1.2738e-004","-7.2476e-006","1.2944e-004","-7.1903e-006","1.3336e-004","-7.1474e-006","1.3352e-004","-7.1381e-006"
"","  21.5058e-10","1.3467e-004","6.3849e-008","1.3234e-004","-7.1618e-006","1.3294e-004","-7.1675e-006","1.2906e-004","-7.2117e-006","1.2872e-004","-7.2312e-006"
"","  21.9945e-10","1.3276e-004","1.2549e-008","1.3072e-004","-7.1898e-006","1.3249e-004","-6.9839e-006","1.3244e-004","-7.1419e-006","1.3155e-004","-7.1937e-006"
"","  22.4833e-10","1.3212e-004","9.1643e-008","1.3059e-004","-7.1920e-006","1.3275e-004","-7.1349e-006","1.3495e-004","-7.0915e-006","1.3372e-004","-7.1632e-006"
