C75      GRM155R60J104KA01J               111.500    143.000    Top                            0            0.55MM                           100NF    
C76      GRM155R60J103KA01J               104.500    164.000    Top                            0            0.55MM                           10NF     
C77      GRM155R60J103KA01J               104.500    153.000    Top                            0            0.55MM                           10NF     
C78      ECJ-0EB0J224K                    104.500    163.000    Top                            0            0.55MM                           220NF    
C79      ECJ-0EB0J224K                    104.500    154.000    Top                            0            0.55MM                           220NF    
C80      GRM155R60J104KA01J               111.500    156.000    Top                            0            0.55MM                           100NF    
C81      GRM155R60J104KA01J               111.500    157.000    Top                            0            0.55MM                           100NF    
C82      GRM155R60J104KA01J               111.500    158.000    Top                            0            0.55MM                           100NF    
C83      GRM155R60J104KA01J               111.500    159.000    Top                            0            0.55MM                           100NF    
C84      GRM32DR61C106KA01K               202.500    106.500    Top                            0            2.2MM                            10UF     
C85      ECJ-0EB0J224K                    165.500    107.000    Bottom                         180          0.55MM                           220NF    
C86      ECJ-0EB0J224K                    165.500    109.000    Bottom                         180          0.55MM                           220NF    
C87      ECJ-0EB0J224K                    163.500    117.000    Bottom                         180          0.55MM                           220NF    
C88      T520B476M006ATE070               190.000    83.000     Top                            270          2.1MM                            47UF     
C89      T520B476M006ATE070               185.500    83.000     Top                            270          2.1MM                            47UF     
C90      GRM32ER61C226KE20                135.188    223.551    Top                            270          2.7MM                            22UF     
C91      GRM32ER61C226KE20                135.188    217.582    Top                            270          2.7MM                            22UF     
C92      ECJ-0EB0J224K                    124.100    135.000    Bottom                         0            0.55MM                           220NF    
C93      ECJ-0EB0J224K                    124.100    133.000    Bottom                         0            0.55MM                           220NF    
C94      ECJ-0EB0J224K                    124.100    134.000    Bottom                         0            0.55MM                           220NF    
C95      GRM155R60J104KA01J               111.500    160.000    Top                            0            0.55MM                           100NF    
C96      ECJ-0EB0J224K                    124.100    136.000    Bottom                         0            0.55MM                           220NF    
C97      GRM155R60J104KA01J               111.500    161.000    Top                            0            0.55MM                           100NF    
C98      ECJ-0EB0J224K                    128.000    142.500    Bottom                         90           0.55MM                           220NF    
C99      GRM155R60J104KA01J               111.500    155.000    Top                            0            0.55MM                           100NF    
C100     ECJ-0EB0J224K                    129.000    142.500    Bottom                         90           0.55MM                           220NF    
C101     ECJ-0EB0J224K                    126.000    142.500    Bottom                         90           0.55MM                           220NF    
C102     ECJ-0EB0J224K                    130.000    142.500    Bottom                         90           0.55MM                           220NF    
C103     GRM155R60J104KA01J               111.500    154.000    Top                            0            0.55MM                           100NF    
C104     T530X108M2R5ASE005               51.000     22.500     Top                            0            4.3MM                            1000UF   
C105     T530X108M2R5ASE005               47.304     10.191     Top                            270          4.3MM                            1000UF   
C106     GRM155R71E103KAO1B               118.600    146.500    Top                            270          0.55MM                           10NF     
C107     GRM155R71E103KAO1B               117.600    146.500    Top                            270          0.55MM                           10NF     
C108     GRM155R71E103KAO1B               116.600    146.500    Top                            270          0.55MM                           10NF     
C109     GRM155R71E103KAO1B               115.600    146.500    Top                            270          0.55MM                           10NF     
C110     GRM155R71E103KAO1B               135.000    146.500    Top                            270          0.55MM                           10NF     
C111     GRM155R71E103KAO1B               134.000    146.500    Top                            270          0.55MM                           10NF     
C112     GRM155R71E103KAO1B               132.000    146.500    Top                            270          0.55MM                           10NF     
C113     GRM155R71E103KAO1B               133.000    146.500    Top                            270          0.55MM                           10NF     
C114     ECJ-0EB0J224K                    138.000    142.500    Bottom                         90           0.55MM                           220NF    
C115     ECJ-0EB0J224K                    134.000    142.500    Bottom                         90           0.55MM                           220NF    
C116     ECJ-0EB0J224K                    135.000    142.500    Bottom                         90           0.55MM                           220NF    
C117     GRM32DR61C106KA01K               38.998     19.309     Top                            270          2.2MM                            10UF     
C118     ECJ-0EB0J224K                    132.000    142.500    Bottom                         90           0.55MM                           220NF    
C119     ECJ-0EB0J224K                    133.000    142.500    Bottom                         90           0.55MM                           220NF    
C120     GRM21BR60J106KE19L               86.500     129.500    Top                            0            1.35MM                           10UF     
C121     ECJ-0EB0J224K                    137.000    142.500    Bottom                         90           0.55MM                           220NF    
C122     GRM21BR60J106KE19L               86.500     135.500    Top                            0            1.35MM                           10UF     
C123     ECJ-0EB0J224K                    139.000    142.500    Bottom                         90           0.55MM                           220NF    
C124     GRM21BR60J106KE19L               86.500     123.500    Top                            0            1.35MM                           10UF     
C125     ECJ-0EB0J224K                    141.000    142.500    Bottom                         90           0.55MM                           220NF    
C126     ECJ-0EB0J224K                    140.000    142.500    Bottom                         90           0.55MM                           220NF    
C127     GRM155R60J103KA01J               168.054    234.219    Bottom                         180          0.55MM                           10NF     
C128     GRM155R60J104KA01J               169.744    234.209    Bottom                         180          0.55MM                           100NF    
C129     GRM155R60J103KA01J               162.824    234.229    Bottom                         0            0.55MM                           10NF     
C130     GRM155R60J103KA01J               160.754    234.229    Bottom                         180          0.55MM                           10NF     
C131     GRM155R60J103KA01J               165.954    234.229    Bottom                         0            0.55MM                           10NF     
C132     GRM155R60J103KA01J               179.130    234.219    Bottom                         0            0.55MM                           10NF     
C133     GRM155R60J103KA01J               180.831    234.981    Bottom                         90           0.55MM                           10NF     
C134     GRM155R60J103KA01J               173.288    234.219    Bottom                         0            0.55MM                           10NF     
C135     GRM155R60J103KA01J               182.584    234.320    Bottom                         0            0.55MM                           10NF     
C136     GRM155R60J104KA01J               176.132    234.244    Bottom                         0            0.55MM                           100NF    
C137     ECJ-0EB0J224K                    101.500    147.500    Top                            0            0.55MM                           220NF    
C138     GRM21BR61C475KA88                166.524    231.399    Bottom                         90           1.3MM                            4.7UF    
C139     GRM21BR61C475KA88                180.247    231.399    Bottom                         90           1.3MM                            4.7UF    
C140     GRM155R71E103KAO1B               129.000    146.500    Top                            270          0.55MM                           10NF     
C141     GRM155R71E103KAO1B               128.000    146.500    Top                            270          0.55MM                           10NF     
C142     GRM155R71E103KAO1B               121.600    146.500    Top                            270          0.55MM                           10NF     
C143     GRM155R71E103KAO1B               122.600    146.500    Top                            270          0.55MM                           10NF     
C144     GRM155R71E103KAO1B               141.000    146.500    Top                            270          0.55MM                           10NF     
C145     GRM155R71E103KAO1B               140.000    146.500    Top                            270          0.55MM                           10NF     
C146     GRM155R71E103KAO1B               138.000    146.500    Top                            270          0.55MM                           10NF     
C147     GRM155R71E103KAO1B               139.000    146.500    Top                            270          0.55MM                           10NF     
C148     GRM155R60J103KA01J               244.788    115.000    Bottom                         0            0.55MM                           10NF     
C149     C0402X7R160-104KN                244.500    119.540    Bottom                         90           0.55MM                           0.1UF    
C150     C0402X7R160-104KN                242.500    106.000    Bottom                         90           0.55MM                           0.1UF    
C151     C0402X7R160-104KN                244.500    129.700    Bottom                         90           0.55MM                           0.1UF    
C152     C0402X7R160-104KN                235.125    115.000    Bottom                         0            0.55MM                           0.1UF    
C153     GRM21BR60J106KE19L               120.500    164.000    Top                            90           1.35MM                           10UF     
C154     GRM21BR60J106KE19L               86.500     104.000    Top                            0            1.35MM                           10UF     
C155     GRM21BR60J106KE19L               86.500     91.000     Top                            0            1.35MM                           10UF     
C156     GRM21BR60J106KE19L               167.500    164.000    Top                            90           1.35MM                           10UF     
C157     GRM21BR60J106KE19L               165.500    86.000     Top                            90           1.35MM                           10UF     
C158     ECJ-0EB0J224K                    91.800     115.000    Top                            270          0.55MM                           220NF    
C159     ECJ-0EB0J224K                    142.000    125.000    Bottom                         180          0.55MM                           220NF    
C160     ECJ-0EB0J224K                    119.000    124.000    Bottom                         180          0.55MM                           220NF    
C161     ECJ-0EB0J224K                    95.000     125.000    Bottom                         270          0.55MM                           220NF    
C162     ECJ-0EB0J224K                    95.000     135.500    Bottom                         270          0.55MM                           220NF    
C163     GRM21BR60J106KE19L               173.500    86.000     Top                            90           1.35MM                           10UF     
C164     T520B476M006ATE070               85.500     178.000    Top                            0            2.1MM                            47UF     
C165     GRM32ER61C226KE20                135.188    229.901    Top                            270          2.7MM                            22UF     
C166     GRM32ER61C226KE20                135.188    236.200    Top                            270          2.7MM                            22UF     
C167     GRM21BR61C475KA88                194.878    231.425    Bottom                         90           1.3MM                            4.7UF    
