"Overview [Pass/Fail]","Net(s)","Coupled Net(s)","Driver(s) [RefDes.Pin]","Receiver [RefDes.Pin]","Simulation Corner","Rise Min Delay [ns]","Rise Max Delay [ns]","Rise Ref Time-to-Vmeas [ns]","Fall Min Delay [ns]","Fall Max Delay [ns]","Fall Ref Time-to-Vmeas [ns]","Flight Time Comp. [Yes/No]","Driver Meas [Pin/Die]","Receiver Meas [Pin/Die]","Diff Meas [Yes/No]","Rise Overshoot Rail [mV]","Fall Overshoot Rail [mV]","Rise Overshoot SI [mV]","Fall Overshoot SI [mV]","Rise/Fall Monotonic [Pass/Fail]","Rise/Fall Multi Cross [Pass/Fail]","Rise/Fall Threshold [Pass/Fail]","Rise/Fall Crosstalk [mV]","Rise/Fall Delay Error [Pass/Fail]","Rise/Fall Rail Overshoot [Pass/Fail]","Rise/Fall SI Overshoot [Pass/Fail]","Rise/Fall Crosstalk [Pass/Fail]","Driver Model File","Driver Model Name","Receiver Model File","Receiver Model Name","Total Net Length","Comments"
"Fail","PADD20","","U1.C21","U42.C6","Fast-Strong","-0.621","-0.196"," 1.805","-0.517","-0.035"," 1.741","Yes","Pin","Pin","No","   348","   243","   348","   243","Pass","Pass","Pass","NA","Pass","Fail","Fail","Pass","ppc440EP_rev16.ibs","bt3335t_pm_b","s29gl512n_laa064.ibs","A10"," 13.115 cm","Overshoot exceeded threshold. "
"Fail","PADD20","","U1.C21","U15.AG18","Typical","-0.131"," 0.374"," 2.261","-0.007"," 0.466"," 2.162","Yes","Pin","Pin","No","   722","   649","   722","   649","Pass","Pass","Pass","NA","Pass","Fail","Fail","Pass","ppc440EP_rev16.ibs","bt3335t_pm_b","virtex5.ibs","LVTTL_S_2"," 13.115 cm","Overshoot exceeded threshold. "
"Fail","PADD20","","U1.C21","U42.C6","Typical","-0.796","-0.320"," 2.261","-0.690"," 0.843"," 2.162","Yes","Pin","Pin","No","   417","   347","   417","   347","Fail","Fail","Pass","NA","Pass","Fail","Fail","Pass","ppc440EP_rev16.ibs","bt3335t_pm_b","s29gl512n_laa064.ibs","A10"," 13.115 cm","Overshoot exceeded threshold. Crossed the falling edge threshold more than once. Not monotonic between thresholds. "
"Fail","PADD20","","U1.C21","U15.AG18","Slow-Weak","-0.389"," 0.277"," 2.924","-0.254"," 0.388"," 2.801","Yes","Pin","Pin","No","   548","   519","   548","   519","Pass","Pass","Pass","NA","Pass","Fail","Fail","Pass","ppc440EP_rev16.ibs","bt3335t_pm_b","virtex5.ibs","LVTTL_S_2"," 13.115 cm","Overshoot exceeded threshold. "
"Fail","PADD20","","U1.C21","U42.C6","Slow-Weak","-1.078"," 0.896"," 2.924","-0.990"," 1.135"," 2.801","Yes","Pin","Pin","No","   344","   310","   344","   310","Fail","Fail","Pass","NA","Pass","Fail","Fail","Pass","ppc440EP_rev16.ibs","bt3335t_pm_b","s29gl512n_laa064.ibs","A10"," 13.115 cm","Overshoot exceeded threshold. Crossed the rising edge threshold more than once. Not monotonic between thresholds. "
"Fail","PADD20","","U15.AG18","U42.C6","Fast-Strong"," 0.995"," 3.350"," 1.138"," 1.126"," 3.749"," 1.450","Yes","Pin","Pin","No","    19","    34","    19","    34","Fail","Pass","Pass","NA","Pass","Pass","Pass","Pass","virtex5.ibs","LVTTL_S_2","s29gl512n_laa064.ibs","A10"," 13.115 cm","Not monotonic between thresholds. "
"Pass","PADD20","","U15.AG18","U1.C21","Fast-Strong"," 0.981"," 2.187"," 1.138"," 1.097"," 4.027"," 1.450","Yes","Pin","Pin","No","    38","    80","    38","    80","Pass","Pass","Pass","NA","Pass","Pass","Pass","Pass","virtex5.ibs","LVTTL_S_2","ppc440EP_rev16.ibs","bt3335t_pm_b"," 13.115 cm",""
"Pass","PADD20","","U15.AG18","U42.C6","Typical"," 1.023"," 4.027"," 1.658"," 1.112"," 4.209"," 2.137","Yes","Pin","Pin","No","     9","    13","     9","    13","Pass","Pass","Pass","NA","Pass","Pass","Pass","Pass","virtex5.ibs","LVTTL_S_2","s29gl512n_laa064.ibs","A10"," 13.115 cm",""
"Fail","PADD20","","U15.AG18","U1.C21","Typical"," 0.900"," 4.053"," 1.658"," 1.092"," 4.269"," 2.137","Yes","Pin","Pin","No","    25","    30","    25","    30","Fail","Pass","Pass","NA","Pass","Pass","Pass","Pass","virtex5.ibs","LVTTL_S_2","ppc440EP_rev16.ibs","bt3335t_pm_b"," 13.115 cm","Not monotonic between thresholds. "
"Pass","PADD20","","U15.AG18","U42.C6","Slow-Weak"," 0.883"," 4.599"," 2.597"," 1.004"," 4.572"," 3.214","Yes","Pin","Pin","No","     0","     1","     0","     1","Pass","Pass","Pass","NA","Pass","Pass","Pass","Pass","virtex5.ibs","LVTTL_S_2","s29gl512n_laa064.ibs","A10"," 13.115 cm",""
