       PADS LIBRARY (pcblib_r98 PCB Decals) DIRECTORY LISTING
Item Name                                When Modified

0402                                     08/31/99 16:21:39
BGA1136C100P34X34_3500X3500X340          08/14/07 10:23:10
BGA165C100P11X15_1500X1700X140           08/14/07 16:53:54
CAPC1005X55N                             08/31/99 16:21:39
CAPC2012X125N                            08/31/99 16:21:39
CAPC2012X130L                            08/31/99 16:21:39
CAPC2012X135N                            08/31/99 16:21:39
CAPC3225X270N                            08/31/99 16:21:39
INDC1608X95N                             08/29/07 22:37:41
INDC3216X130N                            08/14/07 10:28:56
JUMPER                                   08/31/99 16:21:39
QSH-040-01-X-D-DP-A                      08/14/07 09:34:53
RESC1005X40N                             08/31/99 16:21:39
SMDCLK6                                  08/29/07 22:54:08
SOIC127P600X175-8N                       08/29/07 23:18:46
SOP50P490X110-11N                        08/14/07 17:05:16
TYCO6367550                              08/29/07 21:26:34

