Part Report for roach103.pcb on 31/08/2009 14:16:51

Name     Layer Name                     Position X Position Y Orientatio Geometry.Height                  MANUFACTURER                     P/D_NUM                          Value    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C1       Top                               275.456   -161.639 270        3.1MM                            AVX                              TPSD227K010R0050                 220UF    
C310     Top                                39.456   -187.739 270        1.9MM                            KEMET                            T520V337M2R5ATE025               330UF    
C311     Top                                37.956   -168.739 0          2.1MM                            KEMET                            T520B336M006ATE040               33UF     
C312     Top                               182.956   -171.239 270        2.1MM                            KEMET                            T520B336M006ATE040               33UF     
C313     Bottom                            273.669   -176.233 270        0.55MM                           MURATA                           GRM1555C1H5R0CZ01B               5PF      
C314     Bottom                            202.843   -219.754 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C315     Top                               211.456   -222.239 90         0.9MM                            MURATA                           GRM188R71C105KA12                1UF      
C316     Bottom                            199.744   -219.754 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C317     Top                               204.517   -214.278 0          0.9MM                            MURATA                           GRM188R71C105KA12                1UF      
C318     Top                               139.456   -209.239 0          0.9MM                            MURATA                           GRM188R71C105KA12                1UF      
C319     Bottom                            139.836   -219.683 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C320     Bottom                            136.757   -219.683 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C321     Top                               139.556   -212.339 0          0.9MM                            MURATA                           GRM188R71C105KA12                1UF      
C322     Bottom                            102.456   -113.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C323     Bottom                            102.456   -117.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C324     Bottom                            102.456   -121.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C325     Bottom                            102.456   -127.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C326     Top                               253.456   -179.739 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C327     Top                               113.156   -207.039 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C328     Top                                83.056    -62.639 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C329     Top                               242.418   -130.353 0          1.35MM                           MURATA                           GRM21BR61E475KA12K               4U7F     
C330     Bottom                            148.956   -104.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C331     Bottom                            174.956   -114.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C332     Bottom                            102.456   -123.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C333     Top                               185.716   -148.679 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C334     Top                               203.956   -201.239 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C335     Top                               203.956   -197.239 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C336     Bottom                            113.314   -219.738 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C337     Top                               123.456   -220.239 0          0.9MM                            MURATA                           GRM188R71C105KA12                1UF      
C338     Bottom                            110.204   -219.738 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C339     Top                               118.656   -215.039 0          0.9MM                            MURATA                           GRM188R71C105KA12                1UF      
C340     Top                                54.756   -217.039 0          0.9MM                            MURATA                           GRM188R71C105KA12                1UF      
C341     Bottom                             50.310   -219.739 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C342     Bottom                             47.210   -219.739 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C343     Top                                54.756   -213.539 0          0.9MM                            MURATA                           GRM188R71C105KA12                1UF      
C344     Top                               133.156   -136.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C345     Top                               137.156   -136.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C346     Top                               141.156   -136.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C347     Top                               144.956   -136.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C348     Top                                37.956   -172.739 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C349     Top                                37.956   -164.739 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C350     Top                               178.956   -171.319 270        2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C351     Bottom                            185.290   -218.280 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C352     Bottom                             48.256   -197.839 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C353     Bottom                            115.456   -114.739 180        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C354     Bottom                            107.456   -113.739 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C355     Bottom                            107.456   -119.639 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C356     Bottom                            107.456   -117.739 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C357     Bottom                            107.456   -111.739 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C358     Bottom                            107.456   -107.739 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C359     Bottom                            107.456   -109.739 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C360     Bottom                            107.456   -115.739 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C361     Bottom                             55.956   -152.689 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C362     Bottom                            102.456   -105.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C363     Bottom                            102.456   -125.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C364     Bottom                             48.282   -199.210 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C365     Top                                42.082   -104.937 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C366     Top                                41.056   -148.022 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C367     Bottom                             55.956   -148.689 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C368     Bottom                            102.456   -111.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C369     Bottom                             55.956   -131.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C370     Bottom                             55.956   -138.239 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C371     Top                               187.586   -148.759 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C372     Bottom                             55.956   -125.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C373     Bottom                             55.956   -144.689 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C374     Bottom                             55.956   -119.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C375     Bottom                             55.956   -117.239 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C376     Bottom                            102.456   -129.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C377     Bottom                            102.456   -119.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C378     Top                                38.556   -148.022 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C379     Top                                40.056   -133.022 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C380     Bottom                             55.956   -114.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C381     Top                                40.056   -130.522 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C382     Top                                42.082   -107.937 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C383     Bottom                             55.956   -128.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C384     Bottom                             55.956   -122.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C385     Bottom                            102.456   -107.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C386     Bottom                             55.956   -134.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C387     Bottom                             55.956   -141.189 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C388     Top                               253.456   -191.739 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C389     Top                               254.956    -59.239 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C390     Top                                32.774    -92.839 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C391     Top                                32.774    -83.839 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C392     Top                                37.956   -176.739 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C393     Top                                32.774    -88.339 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C394     Top                                37.956   -160.739 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C395     Top                               186.956   -171.239 270        2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C396     Bottom                            160.090   -218.280 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C397     Bottom                            101.290   -218.280 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C398     Bottom                             75.690   -218.280 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C399     Bottom                            244.700    -10.500 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C400     Top                                19.584   -223.548 270        4.3MM                            KEMET                            T530X108M2R5ASE005               1000UF   
C401     Top                                10.440   -225.072 270        12.7MM                           SANYO                            16SVP330M                        330UF    
C402     Top                                25.172   -223.548 270        4.3MM                            KEMET                            T530X108M2R5ASE005               1000UF   
C403     Top                               -10.388   -225.072 270        12.7MM                           SANYO                            16SVP330M                        330UF    
C404     Top                                 5.360   -195.100 180        12.7MM                           SANYO                            16SVP330M                        330UF    
C405     Top                                 6.884   -156.492 90         4.3MM                            KEMET                            T530X108M2R5ASE005               1000UF   
C407     Bottom                            190.890   -218.280 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C408     Bottom                            165.290   -218.280 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C409     Top                                -3.184   -143.184 270        12.7MM                           SANYO                            16SVP330M                        330UF    
C410     Top                                -6.324   -108.334 180        4.3MM                            KEMET                            T530X108M2R5ASE005               1000UF   
C411     Bottom                            106.290   -218.280 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C412     Top                                -8.864   -195.100 180        12.7MM                           SANYO                            16SVP330M                        330UF    
C413     Top                               -12.361   -149.178 90         4.1MM                            KEMET                            T530X687M004ASE005               680UF    
C414     Bottom                             80.690   -218.280 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C417     Bottom                             60.490   -218.180 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C418     Top                                27.483   -214.429 270        2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C419     Top                                -2.195   -220.396 90         2.7MM                            MURATA                           GRM32ER61C226KE20                22UF     
C420     Top                                 4.293   -187.480 180        2.7MM                            MURATA                           GRM32ER61C226KE20                22UF     
C421     Top                                11.716   -157.368 90         2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C422     Top                                 4.328   -110.975 0          2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C423     Top                               -10.804   -140.644 270        2.7MM                            MURATA                           GRM32ER61C226KE20                22UF     
C424     Top                               -11.683   -187.455 180        2.7MM                            MURATA                           GRM32ER61C226KE20                22UF     
C425     Top                                -8.052   -152.588 90         2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C426     Top                               -11.436   -162.304 180        2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C427     Top                               155.456   -119.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C428     Top                               155.456   -114.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C429     Top                               155.956   -105.239 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C430     Bottom                            261.412   -117.044 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C431     Bottom                            261.412   -119.076 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C432     Bottom                            269.056    -69.539 180        0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C433     Bottom                            269.056    -71.339 180        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C434     Bottom                            260.156   -190.039 90         0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C435     Bottom                            261.412   -121.108 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C436     Bottom                            261.412   -123.140 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C437     Bottom                            261.412   -125.172 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C438     Bottom                            261.412   -127.204 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C439     Bottom                            261.412   -129.236 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C440     Bottom                            261.412   -131.268 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C441     Bottom                            261.412   -133.300 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C442     Bottom                            261.412   -135.332 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C443     Bottom                            261.412   -137.364 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C444     Bottom                            261.412   -139.396 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C445     Bottom                            261.412   -141.428 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C446     Bottom                            261.412   -143.968 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C447     Bottom                            261.412   -146.508 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C448     Bottom                            261.412   -149.048 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C449     Bottom                            261.412   -151.588 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C450     Bottom                            261.412   -154.128 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C451     Bottom                            261.412   -156.668 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C452     Bottom                            261.412   -159.208 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C453     Top                               279.456    -96.239 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C454     Bottom                            261.847   -193.139 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C455     Bottom                            273.773   -141.641 0          0.55MM                           MURATA                           GRM1555C1H5R0CZ01B               5PF      
C456     Top                               277.956   -111.739 0          2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C457     Top                               276.456   -115.739 0          2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C458     Top                               276.456   -119.239 0          2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C459     Top                               274.972    -96.400 90         1.35MM                           MURATA                           GRM21BR61E475KA12K               4U7F     
C460     Bottom                            107.456   -104.739 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C461     Top                                42.270    -91.936 90         0.55MM                           MURATA                           GRM1555C1H5R0CZ01B               5PF      
C462     Top                                42.760   -179.055 90         0.55MM                           MURATA                           GRM1555C1H5R0CZ01B               5PF      
C463     Bottom                             42.729   -127.043 90         0.55MM                           MURATA                           GRM1555C1H5R0CZ01B               5PF      
C464     Top                                30.656   -145.822 180        2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C465     Top                                31.056   -134.022 180        2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C466     Top                                31.056   -130.522 180        2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C467     Top                                25.056   -132.522 0          1.35MM                           MURATA                           GRM21BR61E475KA12K               4U7F     
C468     Bottom                            148.956   -108.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C469     Bottom                            132.456   -104.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C470     Bottom                            130.456   -112.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C471     Bottom                             85.890   -218.280 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C472     Bottom                            144.690   -218.280 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C473     Bottom                            197.912   -149.429 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C474     Bottom                            196.896   -152.858 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C475     Bottom                            196.896   -160.478 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C476     Bottom                            198.166   -164.288 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C477     Bottom                            205.786   -164.288 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C478     Bottom                            201.976   -164.288 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C479     Bottom                            210.104   -149.429 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C480     Bottom                            210.866   -152.858 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C481     Bottom                            210.866   -160.478 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C482     Bottom                            209.596   -164.288 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C483     Bottom                            210.866   -156.668 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C485     Top                                25.456   -177.739 180        1.4MM                            MURATA                           GRM21BR71E225KA73B               2U2      
C486     Bottom                            122.456   -114.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C487     Top                                46.456    -33.239 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C488     Top                                83.956    -36.739 270        2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C489     Top                                98.456    -47.239 180        0.9MM                            MURATA                           GRM188R61E105KA12J               1UF      
C490     Top                               124.956    -47.239 180        0.9MM                            MURATA                           GRM188R61E105KA12J               1UF      
C491     Top                               111.956    -47.239 180        0.9MM                            MURATA                           GRM188R61E105KA12J               1UF      
C492     Top                                98.456    -37.239 180        2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C493     Top                                98.026    -22.239 180        2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C494     Top                               123.664    -22.239 180        2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C495     Top                               124.456    -37.239 180        2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C496     Top                               111.456    -37.239 180        2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C497     Top                               110.754    -22.239 180        2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C498     Top                                92.956    -32.239 90         0.88MM                           KEMET                            C0805C153J5RAC                   15NF     
C499     Top                               118.956    -32.239 90         0.88MM                           KEMET                            C0805C153J5RAC                   15NF     
C500     Top                               105.956    -32.239 90         0.88MM                           KEMET                            C0805C153J5RAC                   15NF     
C501     Top                                98.456    -42.239 180        4.3MM                            KEMET                            T530X337M010ATE006               330UF    
C502     Top                               124.456    -42.239 180        4.3MM                            KEMET                            T530X337M010ATE006               330UF    
C503     Top                               110.956    -42.239 180        4.3MM                            KEMET                            T530X337M010ATE006               330UF    
C504     Top                               123.656    -25.039 180        0.9MM                            MURATA                           GRM188R61E105KA12J               1UF      
C505     Top                                98.067    -24.939 180        0.9MM                            MURATA                           GRM188R61E105KA12J               1UF      
C506     Top                               110.756    -25.139 180        0.9MM                            MURATA                           GRM188R61E105KA12J               1UF      
C507     Bottom                            211.633    -13.970 90         0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C508     Bottom                            214.633    -13.970 90         0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C509     Bottom                            217.633    -13.970 90         0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C510     Bottom                            220.633    -13.970 90         0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C511     Bottom                            227.669    -23.380 180        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C512     Bottom                            227.669    -20.815 180        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C513     Bottom                            217.213    -36.086 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C514     Bottom                            222.213    -37.086 270        0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C515     Bottom                            222.213    -32.086 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C516     Bottom                            222.213    -29.586 270        0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C517     Bottom                            222.213    -27.086 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C518     Bottom                            222.213    -22.086 270        0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C519     Bottom                            212.213    -22.086 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C520     Bottom                            212.213    -27.086 270        0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C521     Bottom                            212.213    -29.586 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C522     Bottom                            212.213    -32.086 270        0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C523     Bottom                            212.213    -37.086 90         0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C524     Bottom                            217.213    -38.086 180        0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C525     Bottom                            214.192    -22.741 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C526     Bottom                            220.467    -22.766 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C527     Bottom                            212.213    -24.586 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C528     Bottom                            212.213    -34.586 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C529     Bottom                            222.213    -24.586 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C530     Bottom                            222.213    -34.586 90         0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C531     Bottom                            220.213    -38.086 0          0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C532     Bottom                            214.213    -38.086 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C533     Bottom                            220.227    -24.532 90         0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C534     Bottom                            214.131    -24.532 90         0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C535     Top                               235.407    -18.258 0          2.7MM                            MURATA                           GRM32ER61C226KE20                22UF     
C536     Top                               235.407    -21.814 0          2.7MM                            MURATA                           GRM32ER61C226KE20                22UF     
C537     Top                               228.371    -13.280 0          2.7MM                            MURATA                           GRM32ER61C226KE20                22UF     
C538     Top                               -10.082    -89.801 180        3.1MM                            KEMET                            T530X337M010ATE006               330UF    
C539     Bottom                             10.456    -55.239 0          0.55MM                           AVX                              04023C101KAT2A                   100PF    
C540     Top                                 5.940     -6.532 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C541     Top                                 6.000     -3.732 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C542     Top                                14.456     -6.412 270        0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C543     Top                                14.516     -3.912 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C544     Top                                13.976     -1.828 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C545     Top                                 1.473    -91.544 180        3.1MM                            KEMET                            T530X337M010ATE006               330UF    
C546     Top                               128.356    -27.039 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C547     Top                                 8.616    -32.568 180        1.4MM                            MURATA                           GRM21BR71E225KA73B               2U2      
C548     Top                                 5.456    -44.239 180        1.4MM                            MURATA                           GRM21BR71E225KA73B               2U2      
C549     Top                                 5.456    -60.639 180        2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C550     Top                                -5.899   -103.738 270        1.4MM                            KEMET                            C0805C153J5RAC                   15NF     
C551     Top                               -12.236    -84.904 180        2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C552     Top                               -11.252   -104.016 0          2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C553     Top                                -9.052    -93.340 180        0.9MM                            MURATA                           GRM188R61E105KA12J               1UF      
C554     Top                                17.956    -27.939 90         0.55MM                           MURATA                           GRM1555C1H220JZ01B               22PF     
C555     Top                                25.456    -28.039 90         0.55MM                           MURATA                           GRM1555C1H220JZ01B               22PF     
C556     Top                                 4.956    -41.739 0          0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C557     Bottom                             22.456    -60.739 270        0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C558     Top                                38.456    -45.739 180        0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C559     Top                                38.456    -56.739 180        0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
