Part Report for roach103.pcb on 31/08/2009 14:16:51

Name     Layer Name                     Position X Position Y Orientatio Geometry.Height                  MANUFACTURER                     P/D_NUM                          Value    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C1       Top                               275.456   -161.639 270        3.1MM                            AVX                              TPSD227K010R0050                 220UF    
C62      Top                               187.956    -40.239 90         0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C63      Top                               238.041   -125.784 180        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C64      Top                                87.956    -93.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C65      Top                                87.956    -84.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C66      Top                                87.956    -94.839 0          0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C67      Top                                87.956    -83.739 0          0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C68      Top                                64.900    -55.800 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C69      Top                                54.400    -55.400 0          0.55MM                           MURATA                           GRM155R71A104KAO1B               100NF    
C70      Top                                94.956    -85.739 0          0.55MM                           MURATA                           GRM155R60J104KA01J               100NF    
C71      Top                                94.956    -86.739 0          0.55MM                           MURATA                           GRM155R60J104KA01J               100NF    
C74      Top                                94.956    -89.739 0          0.55MM                           MURATA                           GRM155R60J104KA01J               100NF    
C75      Top                                94.956    -90.739 0          0.55MM                           MURATA                           GRM155R60J104KA01J               100NF    
C76      Top                                87.956    -69.739 0          0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C77      Top                                87.956    -80.739 0          0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C78      Top                                87.956    -70.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C79      Top                                87.956    -79.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C82      Top                                94.956    -75.739 0          0.55MM                           MURATA                           GRM155R60J104KA01J               100NF    
C83      Top                                94.956    -74.739 0          0.55MM                           MURATA                           GRM155R60J104KA01J               100NF    
C84      Top                               185.956   -127.239 0          2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C85      Bottom                            148.956   -126.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C86      Bottom                            148.956   -124.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C87      Bottom                            146.956   -116.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C88      Top                               173.456   -150.739 270        2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C89      Top                               168.956   -150.739 270        2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C90      Top                               118.644    -10.188 270        2.7MM                            MURATA                           GRM32ER61C226KE20                22UF     
C91      Top                               118.644    -16.157 270        2.7MM                            MURATA                           GRM32ER61C226KE20                22UF     
C92      Bottom                            107.556    -98.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C93      Bottom                            107.556   -100.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C94      Bottom                            107.556    -99.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C96      Bottom                            107.556    -97.739 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C98      Bottom                            111.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C99      Top                                94.956    -78.739 0          0.55MM                           MURATA                           GRM155R60J104KA01J               100NF    
C100     Bottom                            112.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
