"HyperLynx Oscilloscope .CSV file"

"Design file: IBOB2_WORK2.HYP         Designer: Etienne Bauermeister"
"Created on: 09 February 2008   Time: 11:07:45 AM"
"Created by: HyperLynx v7.7 (bld 385)
"Comment: "
"Probe 1: U17.R1 (at pin)"
"","Time","Probe V 1","Probe I 1"
"","   0.0000e-11","1.5000e+000",DC
"","   0.9777e-11","1.5000e+000","1.5045e-008"
"","   1.9555e-11","1.5000e+000","5.1802e-009"
"","   2.9332e-11","1.5000e+000","-1.2937e-009"
"","   3.9110e-11","1.5000e+000","-5.6091e-009"
"","   4.8887e-11","1.5000e+000","-1.9978e-008"
"","   5.8665e-11","1.5000e+000","-3.2739e-008"
"","   6.8442e-11","1.5000e+000","-3.2156e-008"
"","   7.8220e-11","1.5000e+000","-3.1769e-008"
"","   8.7997e-11","1.5000e+000","-3.1513e-008"
"","   9.7775e-11","1.5000e+000","-3.0921e-008"
"","  10.7552e-11","1.5000e+000","-3.1729e-008"
"","  11.7329e-11","1.5000e+000","-3.2670e-008"
"","  12.7107e-11","1.5000e+000","-5.0825e-008"
"","  13.6884e-11","1.5000e+000","-5.6007e-008"
"","  14.6662e-11","1.5000e+000","-7.1757e-006"
"","  15.6439e-11","1.5000e+000","-2.0998e-005"
"","  16.6217e-11","1.5000e+000","-2.8583e-005"
"","  17.5994e-11","1.5000e+000","-4.9918e-005"
"","  18.5772e-11","1.5000e+000","-7.3933e-005"
"","  19.5549e-11","1.4992e+000","-1.1116e-004"
"","  20.5326e-11","1.4984e+000","-1.4309e-004"
"","  21.5104e-11","1.4975e+000","-1.7463e-004"
"","  22.4881e-11","1.4958e+000","-2.0706e-004"
"","  23.4659e-11","1.4939e+000","-2.2676e-004"
"","  24.4436e-11","1.4909e+000","-2.3549e-004"
"","  25.4214e-11","1.4884e+000","-2.3989e-004"
"","  26.3991e-11","1.4857e+000","-2.2879e-004"
"","  27.3769e-11","1.4821e+000","-2.0322e-004"
"","  28.3546e-11","1.4804e+000","-1.6364e-004"
"","  29.3324e-11","1.4783e+000","-1.2315e-004"
"","  30.3101e-11","1.4763e+000","-9.5342e-005"
"","  31.2878e-11","1.4747e+000","-6.6497e-005"
"","  32.2656e-11","1.4743e+000","-3.2796e-005"
"","  33.2433e-11","1.4751e+000","-1.2300e-005"
"","  34.2211e-11","1.4755e+000","2.7278e-005"
"","  35.1988e-11","1.4756e+000","6.8876e-005"
"","  36.1766e-11","1.4768e+000","1.3037e-004"
"","  37.1543e-11","1.4776e+000","1.8193e-004"
"","  38.1321e-11","1.4793e+000","2.3068e-004"
"","  39.1098e-11","1.4824e+000","2.7231e-004"
"","  40.0876e-11","1.4866e+000","2.3068e-004"
"","  41.0653e-11","1.4920e+000","9.0810e-005"
"","  42.0430e-11","1.4959e+000","-1.3363e-004"
"","  43.0208e-11","1.4989e+000","-4.5781e-004"
"","  43.9985e-11","1.5007e+000","-8.5798e-004"
"","  44.9763e-11","1.4959e+000","-1.3352e-003"
"","  45.9540e-11","1.4843e+000","-1.8654e-003"
"","  46.9318e-11","1.4672e+000","-2.4076e-003"
"","  47.9095e-11","1.4438e+000","-2.9679e-003"
"","  48.8873e-11","1.4153e+000","-3.5555e-003"
"","  49.8650e-11","1.3818e+000","-4.1487e-003"
"","  50.8427e-11","1.3443e+000","-4.7801e-003"
"","  51.8205e-11","1.3008e+000","-5.4169e-003"
"","  52.7982e-11","1.2490e+000","-6.0616e-003"
"","  53.7760e-11","1.1886e+000","-6.6807e-003"
"","  54.7537e-11","1.1206e+000","-7.2773e-003"
"","  55.7315e-11","1.0453e+000","-7.8288e-003"
"","  56.7092e-11","9.6490e-001","-8.2340e-003"
"","  57.6870e-11","8.8043e-001","-8.4761e-003"
"","  58.6647e-11","7.9541e-001","-8.5670e-003"
"","  59.6425e-11","7.0967e-001","-8.5034e-003"
"","  60.6202e-11","6.2505e-001","-8.3274e-003"
"","  61.5979e-11","5.4559e-001","-8.0392e-003"
"","  62.5757e-11","4.7071e-001","-7.6649e-003"
"","  63.5534e-11","3.9974e-001","-7.2388e-003"
"","  64.5312e-11","3.3467e-001","-6.7590e-003"
"","  65.5089e-11","2.7434e-001","-6.2094e-003"
"","  66.4867e-11","2.1934e-001","-5.6165e-003"
"","  67.4644e-11","1.6918e-001","-4.9526e-003"
"","  68.4422e-11","1.2650e-001","-4.2640e-003"
