,"iBOB Pin","iBOB function","iBOB ZDOK Signal","ROACH ZDOK Signal",,,,
,"M2","adc0dataoddi_p<2>","ZDOK_LVDS0_P<14>","ZDOK_LVDS0_P<24>",,,,
,"L3","adc0dataoddi_p<3>","ZDOK_LVDS0_P<16>","ZDOK_LVDS0_P<26>",,,,
,"T9","adc0dataoddi_p<4>","ZDOK_LVDS0_P<29>","ZDOK_LVDS0_P<29>",,,,
,"T2","adc0dataoddi_p<5>","ZDOK_LVDS0_P<31>","ZDOK_LVDS0_P<31>",,,,
,"T5","adc0dataoddi_p<6>","ZDOK_LVDS0_P<33>","ZDOK_LVDS0_P<33>",,,,
,"U9","adc0dataoddi_p<7>","ZDOK_LVDS0_P<35>","ZDOK_LVDS0_P<35>",,,,
,"K5","adc0dataoddq_n<0>","ZDOK_LVDS0_M<7>","ZDOK_LVDS0_M<7>",,,,
,"H2","adc0dataoddq_n<1>","ZDOK_LVDS0_M<5>","ZDOK_LVDS0_M<5>",,,,
,"J8","adc0dataoddq_n<2>","ZDOK_LVDS0_M<3>","ZDOK_LVDS0_M<3>",,,,
,"E4","adc0dataoddq_n<3>","ZDOK_LVDS0_M<1>","ZDOK_LVDS0_M<1>",,,,
,"P4","adc0dataoddq_n<4>","ZDOK_LVDS0_M<26>","ZDOK_LVDS0_M<27>",,,,
,"R10","adc0dataoddq_n<5>","ZDOK_LVDS0_M<24>","ZDOK_LVDS0_M<15>",,,,
,"N4","adc0dataoddq_n<6>","ZDOK_LVDS0_M<22>","ZDOK_LVDS0_M<13>",,,,
,"M1","adc0dataoddq_n<7>","ZDOK_LVDS0_M<20>","ZDOK_LVDS0_M<20>",,,,
,"K4","adc0dataoddq_p<0>","ZDOK_LVDS0_P<7>","ZDOK_LVDS0_P<7>",,,,
,"H1","adc0dataoddq_p<1>","ZDOK_LVDS0_P<5>","ZDOK_LVDS0_P<5>",,,,
,"J7","adc0dataoddq_p<2>","ZDOK_LVDS0_P<3>","ZDOK_LVDS0_P<3>",,,,
,"E3","adc0dataoddq_p<3>","ZDOK_LVDS0_P<1>","ZDOK_LVDS0_P<1>",,,,
,"P3","adc0dataoddq_p<4>","ZDOK_LVDS0_P<26>","ZDOK_LVDS0_P<17>",,,,
,"R9","adc0dataoddq_p<5>","ZDOK_LVDS0_P<24>","ZDOK_LVDS0_P<15>",,,,
,"N3","adc0dataoddq_p<6","ZDOK_LVDS0_P<22>","ZDOK_LVDS0_P<13>",,,,
,"N1","adc0dataoddq_p<7>","ZDOK_LVDS0_P<20>","ZDOK_LVDS0_P<11>",,,,
,"P1","adc0ddrb_n","ZDOK_LVDS0_M<28>","ZDOK_LVDS0_M<19>",,,,
,"R1","adc0ddrb_p","ZDOK_LVDS0_P<28>","ZDOK_LVDS0_P<19>",,,,
,"P10","adc0outofrangei_n","ZDOK_LVDS0_M<18>","ZDOK_LVDS0_M<28>",,,,
,"P9","adc0outofrangei_p","ZDOK_LVDS0_P<18>","ZDOK_LVDS0_P<28>",,,,
,"R7","adc0outofrangeq_n","ZDOK_LVDS0_M<27>","ZDOK_LVDS0_M<18>",,,,
,"R6","adc0outofrangeq_p","ZDOK_LVDS0_P<27>","ZDOK_LVDS0_P<18>",,,,
,"U2","adc0sync_n","ZDOK_LVDS0_M<37>","ZDOK_LVDS0_M<37>",,,,
,"V2","adc0sync_p","ZDOK_LVDS0_P<37>","ZDOK_LVDS0_P<37>",,,,
,"J17","NC","ZDOK0_CLK1_P","ZDOK0_CLK1_P",,,,
,"H17","NC","ZDOK0_CLK1_M","ZDOK0_CLK1_M",,,,
